impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
quadratic_oracle,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,54.1575,4093,2047,0,0,2046
binary_heap,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,2.75737,4093,2047,0,0,2046
binomial_queue,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,20.0237,4093,2047,0,0,2046
linear_base,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,0.480986,4093,2047,0,0,2046
binary_heap,huffman_coding,huffman_coding_N_1048576_S_23.trace,1048576,23,2814.62,4194301,2097151,0,0,2097150
binomial_queue,huffman_coding,huffman_coding_N_1048576_S_23.trace,1048576,23,14772.5,4194301,2097151,0,0,2097150
linear_base,huffman_coding,huffman_coding_N_1048576_S_23.trace,1048576,23,244.477,4194301,2097151,0,0,2097150
binary_heap,huffman_coding,huffman_coding_N_131072_S_23.trace,131072,23,291.282,524285,262143,0,0,262142
binomial_queue,huffman_coding,huffman_coding_N_131072_S_23.trace,131072,23,1453.06,524285,262143,0,0,262142
linear_base,huffman_coding,huffman_coding_N_131072_S_23.trace,131072,23,36.6198,524285,262143,0,0,262142
quadratic_oracle,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.018991,49,25,0,0,24
binary_heap,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.017277,49,25,0,0,24
binomial_queue,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.102406,49,25,0,0,24
linear_base,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.008036,49,25,0,0,24
quadratic_oracle,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,5808.49,65533,32767,0,0,32766
binary_heap,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,29.4935,65533,32767,0,0,32766
binomial_queue,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,139.377,65533,32767,0,0,32766
linear_base,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,3.75923,65533,32767,0,0,32766
quadratic_oracle,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,103.066,8189,4095,0,0,4094
binary_heap,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,2.81474,8189,4095,0,0,4094
binomial_queue,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,15.39,8189,4095,0,0,4094
linear_base,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,0.739045,8189,4095,0,0,4094
binary_heap,huffman_coding,huffman_coding_N_262144_S_23.trace,262144,23,613.263,1048573,524287,0,0,524286
binomial_queue,huffman_coding,huffman_coding_N_262144_S_23.trace,262144,23,3113.4,1048573,524287,0,0,524286
linear_base,huffman_coding,huffman_coding_N_262144_S_23.trace,262144,23,60.0064,1048573,524287,0,0,524286
quadratic_oracle,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,23316.7,131069,65535,0,0,65534
binary_heap,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,78.5978,131069,65535,0,0,65534
binomial_queue,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,401.87,131069,65535,0,0,65534
linear_base,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,9.2854,131069,65535,0,0,65534
quadratic_oracle,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,392.781,16381,8191,0,0,8190
binary_heap,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,6.32705,16381,8191,0,0,8190
binomial_queue,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,42.0103,16381,8191,0,0,8190
linear_base,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,0.929773,16381,8191,0,0,8190
binary_heap,huffman_coding,huffman_coding_N_524288_S_23.trace,524288,23,1557.07,2097149,1048575,0,0,1048574
binomial_queue,huffman_coding,huffman_coding_N_524288_S_23.trace,524288,23,7799.55,2097149,1048575,0,0,1048574
linear_base,huffman_coding,huffman_coding_N_524288_S_23.trace,524288,23,121.83,2097149,1048575,0,0,1048574
binary_heap,huffman_coding,huffman_coding_N_65536_S_23.trace,65536,23,143.099,262141,131071,0,0,131070
binomial_queue,huffman_coding,huffman_coding_N_65536_S_23.trace,65536,23,618.382,262141,131071,0,0,131070
linear_base,huffman_coding,huffman_coding_N_65536_S_23.trace,65536,23,13.9528,262141,131071,0,0,131070
quadratic_oracle,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,1479.3,32765,16383,0,0,16382
binary_heap,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,15.266,32765,16383,0,0,16382
binomial_queue,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,69.7389,32765,16383,0,0,16382
linear_base,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,1.7432,32765,16383,0,0,16382
quadratic_oracle,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,17.0705,2048,1024,0,0,1024
binary_heap,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,0.611811,2048,1024,0,0,1024
binomial_queue,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,4.11379,2048,1024,0,0,1024
linear_base,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,0.096745,2048,1024,0,0,1024
binary_heap,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,1300.65,2097152,1048576,0,0,1048576
binomial_queue,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,9245.2,2097152,1048576,0,0,1048576
linear_base,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,104.979,2097152,1048576,0,0,1048576
binary_heap,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,132.97,262144,131072,0,0,131072
binomial_queue,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,885.71,262144,131072,0,0,131072
linear_base,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,15.3577,262144,131072,0,0,131072
quadratic_oracle,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.004753,26,13,0,0,13
binary_heap,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.004441,26,13,0,0,13
binomial_queue,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.030102,26,13,0,0,13
linear_base,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.001795,26,13,0,0,13
quadratic_oracle,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,3067.18,32768,16384,0,0,16384
binary_heap,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,11.9334,32768,16384,0,0,16384
binomial_queue,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,94.8329,32768,16384,0,0,16384
linear_base,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,1.50781,32768,16384,0,0,16384
quadratic_oracle,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,51.9996,4096,2048,0,0,2048
binary_heap,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,1.53137,4096,2048,0,0,2048
binomial_queue,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,11.0216,4096,2048,0,0,2048
linear_base,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,0.221652,4096,2048,0,0,2048
binary_heap,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,268.853,524288,262144,0,0,262144
binomial_queue,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,1907.07,524288,262144,0,0,262144
linear_base,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,25.1666,524288,262144,0,0,262144
quadratic_oracle,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,11847.2,65536,32768,0,0,32768
binary_heap,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,29.3585,65536,32768,0,0,32768
binomial_queue,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,183.17,65536,32768,0,0,32768
linear_base,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,3.04127,65536,32768,0,0,32768
quadratic_oracle,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,191.273,8192,4096,0,0,4096
binary_heap,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,2.5394,8192,4096,0,0,4096
binomial_queue,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,17.8051,8192,4096,0,0,4096
linear_base,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,0.386983,8192,4096,0,0,4096
binary_heap,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,553.977,1048576,524288,0,0,524288
binomial_queue,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,4235.55,1048576,524288,0,0,524288
linear_base,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,108.868,1048576,524288,0,0,524288
binary_heap,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,115.685,131072,65536,0,0,65536
binomial_queue,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,619.968,131072,65536,0,0,65536
linear_base,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,8.74569,131072,65536,0,0,65536
quadratic_oracle,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,1048.48,16384,8192,0,0,8192
binary_heap,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,8.49507,16384,8192,0,0,8192
binomial_queue,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,51.6216,16384,8192,0,0,8192
linear_base,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,0.926108,16384,8192,0,0,8192